OBJECT_NAME,OBJECT_ID,EPOCH,MEAN_MOTION,ECCENTRICITY,INCLINATION,RA_OF_ASC_NODE,ARG_OF_PERICENTER,MEAN_ANOMALY,EPHEMERIS_TYPE,CLASSIFICATION_TYPE,NORAD_CAT_ID,ELEMENT_SET_NO,REV_AT_EPOCH,BSTAR,MEAN_MOTION_DOT,MEAN_MOTION_DDOT
IRIDIUM 130,2017-083D,2026-05-27T17:47:11.051232,14.34217086,.000197,86.3959,330.8264,82.7334,277.4086,0,U,43073,999,44118,-.26751E-4,-.55E-6,0
IRIDIUM 151,2017-083E,2026-05-27T18:51:07.125696,14.34216581,.0002001,86.3954,330.5919,89.5479,270.5946,0,U,43074,999,44121,-.73444E-4,-.186E-5,0
IRIDIUM 134,2017-083F,2026-05-27T18:05:27.111264,14.34217403,.0001917,86.3959,330.6134,84.5281,275.6133,0,U,43075,999,44117,.64398E-4,.2E-5,0
IRIDIUM 137,2017-083G,2026-05-27T18:23:43.001088,14.34217288,.0001749,86.3962,330.7001,96.1276,264.0119,0,U,43076,999,44124,.21077E-4,.79E-6,0
IRIDIUM 141,2017-083H,2026-05-27T18:14:35.168928,14.34218025,.0002235,86.3956,330.5346,89.9616,270.1836,0,U,43077,999,44124,.19385E-4,.74E-6,0
IRIDIUM 153,2017-083J,2026-05-27T20:26:39.439104,14.34218090,.0002379,86.3943,298.9762,91.7704,268.3764,0,U,43078,999,44236,.10856E-3,.324E-5,0
IRIDIUM 131,2017-083K,2026-05-27T17:56:19.211712,14.34217162,.0002056,86.3957,330.7243,91.1632,268.9799,0,U,43079,999,44117,-.17749E-4,-.3E-6,0
IRIDIUM 144,2018-030A,2026-05-27T20:35:47.391360,14.34217448,.0002054,86.3940,298.9032,91.3082,268.8349,0,U,43249,999,42722,.11729E-4,.53E-6,0
IRIDIUM 149,2018-030B,2026-05-27T20:44:55.384224,14.34217574,.0002108,86.3938,298.8679,93.9158,266.2279,0,U,43250,999,42724,-.80933E-5,-.3E-7,0
IRIDIUM 157,2018-030C,2026-05-27T19:31:51.392064,14.34217498,.0002055,86.3940,298.9419,92.3835,267.7596,0,U,43251,999,42721,-.68275E-5,.1E-7,0
IRIDIUM 140,2018-030D,2026-05-27T16:38:19.383360,14.34218050,.0002136,86.3941,299.0046,90.5197,269.6243,0,U,43252,999,42725,.59502E-4,.186E-5,0
IRIDIUM 145,2018-030E,2026-05-27T19:40:59.337408,14.34218238,.0001859,86.3943,298.9240,89.7690,270.3719,0,U,43253,999,42720,.56442E-4,.178E-5,0
IRIDIUM 146,2018-030F,2026-05-27T19:13:35.384736,14.34217913,.0002045,86.3941,298.9444,91.7527,268.3903,0,U,43254,999,42721,.38065E-4,.126E-5,0
IRIDIUM 148,2018-030G,2026-05-27T16:47:27.394368,14.34217024,.0001998,86.3940,299.0297,95.2964,264.8460,0,U,43255,999,42723,-.43998E-4,-.103E-5,0
IRIDIUM 142,2018-030H,2026-05-27T19:22:43.400064,14.34220175,.0001977,86.3938,298.8741,90.1574,269.9849,0,U,43256,999,42721,.7116E-4,.219E-5,0
IRIDIUM 150,2018-030J,2026-05-27T20:17:31.396128,14.34217371,.0002034,86.3940,298.9740,91.2147,268.9281,0,U,43257,999,42724,-.17458E-4,-.29E-6,0
IRIDIUM 143,2018-030K,2026-05-27T19:50:07.365696,14.34217700,.0002043,86.3946,299.0736,90.6964,269.4466,0,U,43258,999,42717,.22959E-4,.84E-6,0
IRIDIUM 161,2018-047C,2026-05-27T20:31:16.836672,14.43276229,.0002369,86.4470,96.9722,91.4713,268.6759,0,U,43478,999,42220,.92192E-4,.33E-5,0
IRIDIUM 152,2018-047D,2026-05-27T20:51:18.266688,14.34217615,.0002284,86.3949,96.8271,86.7919,273.3538,0,U,43479,999,41957,-.31986E-5,.11E-6,0
IRIDIUM 147,2018-047E,2026-05-27T21:00:26.205984,14.34217790,.0002168,86.3949,96.8290,84.3187,275.8256,0,U,43480,999,41957,-.23057E-6,.19E-6,0
IRIDIUM 110,2018-047F,2026-05-27T19:29:06.300672,14.34217953,.0002505,86.3952,96.9468,91.5858,268.5624,0,U,43481,999,41955,.10384E-4,.49E-6,0
IRIDIUM 162,2018-047G,2026-05-27T20:22:12.328320,14.43281494,.0002438,86.4472,96.8657,83.9718,276.1761,0,U,43482,999,42219,.92313E-4,.331E-5,0
IRIDIUM 160,2018-061A,2026-05-27T18:11:06.493056,14.34217825,.0002247,86.3971,65.3376,86.9678,273.1775,0,U,43569,999,41044,.14017E-4,.59E-6,0
IRIDIUM 166,2018-061B,2026-05-27T20:28:06.472416,14.34217487,.0002021,86.3967,65.2486,82.1937,277.9488,0,U,43570,999,41048,-.36877E-5,.9E-7,0
